ack 3.4.0-1
alacritty-ligatures 0.5.0.1575.gf2eb94e-1
alsa-utils 1.2.3-2
archlinux-wallpaper 1.4-7
asciinema 2.0.2-3
asp 6-1
audacity 1:2.4.1-4
audio-recorder 3.1.3-1
auracle-git r290.d59f80b-1
autoconf 2.69-7
automake 1.16.2-3
awesome-terminal-fonts 1.1.0-3
base 2-2
bat 0.15.4-1
bind 9.16.5-2
binutils 2.34-5
bison 3.6.4-1
blueman 2.1.3-1
bluez-plugins 5.54-2
bluez-tools 0.2.0-5
bluez-utils-compat 5.51-1
chromium 84.0.4147.105-1
clang 10.0.1-1
cmake 3.18.1-1
cmus 2.8.0-4
conky-lua 1.11.3-1
cryfs 0.10.2-2
ctags 1:r20200106+ga3c87ab5-1
deadd-notification-center 1.7.0-1
dhcpcd 9.1.4-2
discord 0.0.10-3
dnscrypt-proxy 2.0.44-1
docker 1:19.03.12-2
docker-compose 1.26.2-1
dosfstools 4.1-3
droidcam 1:1.3-2
dunst 1.5.0-1
dxvk-bin 1.5.2-1
ed 1.16-1
efibootmgr 17-1
emacs 26.3-2
exa 0.9.0-2
fakeroot 1.24-2
fasd 1.0.1-3
fd 8.1.1-1
feh 3.4.1-1
file 5.39-1
findutils 4.7.0-2
firefox 79.0-1
fish 3.1.2-2
flex 2.6.4-3
flipper 0.39.0-1
font-manager 0.7.7-1
font-victor-mono 1.3.1-1
fzf 0.21.1-2
gawk 5.1.0-1
gcc 10.1.0-2
gdm 3.36.3-1
genymotion 3.0.3-1
gettext 0.20.2-1
ghc 8.10.1-2
git 2.28.0-1
git-lfs 2.11.0-2
github-cli 0.11.1-1
gnome-common 3.18.0-4
gnome-dictionary 3.26.1+96+gedfc2b5-1
gnome-disk-utility 3.36.3-1
gnome-session 3.36.0-1
gnome-settings-daemon 3.36.1-1
gnome-shell 1:3.36.4-1
gnome-themes-extra 3.28-2
google-chrome 81.0.4044.138-1
gotop 3.3.2-1
gparted 1.1.0-1
gpaste 3.36.3-1
gperf 3.1-3
graphviz 2.44.1-2
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gst-libav 1.16.2-2
gzip 1.10-3
htop 2.2.0-3
httpie 2.2.0-2
httpry 0.1.8-1
i3-gaps 4.18.2-1
i3blocks 1.5-3
i3status 2.13-3
iftop 1.0pre4-4
inotify-tools 3.20.2.1-1
isync 1.3.2-1
iw 5.4-1
jdk8-openjdk 8.u262-1
kcolorchooser 20.04.3-1
keepassxc 2.6.0-2
keybase 5.5.1-1
keybase-gui 5.5.1-1
kitty 0.18.2-2
konsole 20.04.3-1
latte-dock 0.9.11-1
lazydocker 0.8-1
lazygit 0.14.2-1
libjson 0.8-1
libtool 2.4.6+42+gb88cebd5-13
libxft-bgra 2.3.3.r7.7808631e-1
linux-firmware 20200721.2b823fc-1
linux-headers 5.7.11.arch1-1
linux-lts 5.4.54-1
linux-lts-headers 5.4.54-1
llvm 10.0.1-1
lscolors-git r317.332d7a1-1
lsd 0.16.0-2
lxterminal 0.3.2-2
m4 1.4.18-3
mailspring 1.6.3-1
make 4.3-3
mate-power-manager 1.24.0-1
mkcert 1.4.1-4
mousetweaks 3.32.0-2
mtools 4.0.24-1
mutt 1.14.6-1
mutter 3.36.4-1
ncurses5-compat-libs 6.1-1
neofetch 7.0.0-1
neomutt 20200626-1
nerd-fonts-complete-mono-glyphs 1.0.0-1
nerd-fonts-hack 2.0.0-1
net-tools 1.60.20181103git-2
nethogs 0.8.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.0-1
networkmanager-l2tp 1.2.12-2
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-2
nginx 1.18.0-1
nitrogen 1.6.1-3
nnn 3.3-1
noto-fonts 20190926-4
noto-fonts-emoji 20200720-1
obs-studio 25.0.8-1
ocaml 4.10.0-1
opam 2.0.7-2
openbsd-netcat 1.206_1-1
os-prober 1.77-2
otf-fira-code 3.1-1
pacaur 4.8.6-1
package-query 1.10-1
pacman 5.2.2-1
pacman-contrib 1.4.0-1
paman 0.9.4-6
pass 1.7.3-2
pass-otp 1.2.0-2
patch 2.7.6-8
pavucontrol 1:4.0-2
perl-anyevent-i3 0.17-6
pkgconf 1.7.3-1
playerctl 2.1.1-1
polybar 3.4.2-2
polybar-spotify-module 1.2.3-1
ponymix 5-3
postman 7.11.0-1
potrace 1.16-2
progress 0.15-1
pulseaudio 13.0-3
pulseaudio-bluetooth 13.0-3
pulseaudio-bluetooth-a2dp-gdm-fix 0.1-1
pulseaudio-bt-auto-enable-a2dp 19-1
pulseaudio-equalizer 13.0-3
pulseaudio-equalizer-ladspa 3.0.2-3
pulseaudio-jack 13.0-3
pypy3 7.3.1-1
python-pip 20.1.1-1
python-pyalsa 1.1.6-5
python2-eventlet 0.25.1-3
python2-spotipy 2.4.4-1
ragel 6.10-3
ranger 1.9.3-2
react-native-debugger 0.11.3-2
reactotron 2.17.1-2
reason-language-server 1.7.8-2
recordmydesktop 0.3.8.1-9
reflector 2020.3.21.2-1
ripasso-cursive 0.4.0-1
ripgrep 12.1.1-1
rofi 1.5.4-2
rofi-emoji 2.1.2-1
rofi-greenclip 3.3-1
rofi-keepassxc 1.4-2
rofi-pass 2.0.2-2
rsync 3.2.2-2
ruby 2.7.1-2
rxvt-unicode 9.22-10
scanmem 0.17-3
screenfetch 3.9.1-1
screenkey 1.1-2
scrot 1.4-1
sed 4.8-1
shellcheck 0.7.1-78
simplescreenrecorder 0.4.2-1
slack-desktop 4.4.3-1
slop 7.5-3
spectacle 20.04.3-1
spotify 1:1.1.10.546-4
spotify-tui 0.15.0-1
spotifyd-git 0.2.24.21.ge519db6-1
st 0.8.2-2
strongswan 5.8.2-1
sudo 1.9.2-1
swagger-editor-git 20191118-1
swagger-ui 3.9.0-1
systemd 245.7-1
systemd-swap 4.3.3-1
task 2.5.1-3
tcpflow 1.5.2-2
telegram-desktop 2.2.0-2
terminator 1.92-2
termite 15-2
texinfo 6.7-3
thunar 1.8.15-1
tmate 2.4.0-1
tmux 3.1_b-1
tokei 12.0.3-1
tree 1.8.0-2
